broad_compartment	module	units	mean_score	sd_score	median_score	q25_score	q75_score
SP	oligodendrocyte_myelination	400	-0.0230406664906825	0.286084085201515	-0.083572140957195	-0.207279797343733	0.0739506061863167
VZ	oligodendrocyte_myelination	272	0.185579097770582	0.424883375275635	0.104775942133142	-0.0986392282763358	0.343419009633862
CP_layers5_6	oligodendrocyte_myelination	281	-0.059492568047675	0.199317801281738	-0.0915342239415628	-0.200791384280732	0.0274690040386741
UNRESOLVED	oligodendrocyte_myelination	128	-0.297518303922885	0.0556560676305586	-0.324133384834869	-0.324133384834869	-0.302237159839751
iSVZ	oligodendrocyte_myelination	378	0.10779976868629	0.412205514153326	-0.0136632110903915	-0.161368019869606	0.239082186373678
IZ	oligodendrocyte_myelination	283	-0.0727552359238072	0.218123775512807	-0.114423906603779	-0.208884540266248	0.00458939264620145
CP_layers2_3	oligodendrocyte_myelination	147	-0.184098729164429	0.1679836850668	-0.258444709849515	-0.302237159839751	-0.121153445585677
CP_layer2	oligodendrocyte_myelination	113	-0.174496950598199	0.156759382403535	-0.214652259859279	-0.273044841222958	-0.135102709295378
oSVZ	patterning_arealization	1144	0.10312759422282	0.533681381490202	-0.032821198489739	-0.266101161323753	0.318371238623143
CP_layer3	patterning_arealization	87	-0.0479408093441877	0.188313203730113	-0.0376008446080819	-0.160239072241103	0.0440471033943056
CP_layer4	patterning_arealization	358	0.2810020338715	0.390348361541602	0.211789825230631	0.0535992561866047	0.425207257228256
SP	patterning_arealization	400	-0.308571979379831	0.189635097075325	-0.373481607904324	-0.433118985427013	-0.227743554174091
VZ	patterning_arealization	272	0.620016916740456	0.691914859746497	0.542892065223547	0.143303470771362	0.907904288552
CP_layers5_6	patterning_arealization	281	-0.184694068875182	0.237919323333834	-0.23116459725066	-0.334188027786647	-0.101090224924458
UNRESOLVED	patterning_arealization	128	-0.555448065959836	0.0589524541224349	-0.567894372232094	-0.595322924179202	-0.536931668188557
iSVZ	patterning_arealization	378	0.133549498285833	0.442059828393411	0.00783466522422421	-0.167421865505414	0.322495851996379
IZ	patterning_arealization	283	-0.412326689681731	0.0936685769413068	-0.426277969310665	-0.468020129942532	-0.373785361020509
CP_layers2_3	patterning_arealization	147	-0.277710721714879	0.30483615797133	-0.405164822442609	-0.518880929587379	-0.0812177166348251
CP_layer2	patterning_arealization	113	-0.261903100784719	0.180436033884678	-0.309159062153497	-0.401412952961383	-0.142214607285486
oSVZ	progenitor_radial_glia	1144	0.308015634954037	0.777769890112971	0.105648990941186	-0.226227384163866	0.586469122227728
CP_layer3	progenitor_radial_glia	87	-0.36440803759831	0.11750721974011	-0.379060571543768	-0.45264465833593	-0.298073722645174
CP_layer4	progenitor_radial_glia	358	-0.274931515346454	0.212109270861583	-0.315292145741959	-0.403092778571959	-0.176041438051592
SP	progenitor_radial_glia	400	-0.447090590311609	0.186316724974138	-0.521068841920296	-0.568831367604352	-0.382797768918585
VZ	progenitor_radial_glia	272	1.18361397742772	0.927927769090067	1.04262792141296	0.552894229472498	1.62541552506966
CP_layers5_6	progenitor_radial_glia	281	-0.522506081062369	0.0812063603493807	-0.541230620152708	-0.574583403434564	-0.493330875091222
UNRESOLVED	progenitor_radial_glia	128	-0.60395982914522	0.0375206353737016	-0.61263317756813	-0.63580270734346	-0.585929148801028
iSVZ	progenitor_radial_glia	378	0.308828585940802	0.554230263100861	0.126910129146411	-0.0596446753369232	0.524498403232982
IZ	progenitor_radial_glia	283	-0.501242418224947	0.0961336711919139	-0.523037856647491	-0.561946082760214	-0.46186564290409
CP_layers2_3	progenitor_radial_glia	147	-0.450132483207835	0.171560671665817	-0.503548249957821	-0.585443484917068	-0.35766832917612
CP_layer2	progenitor_radial_glia	113	-0.441882562348057	0.0904603049598313	-0.448685191153263	-0.505541910325212	-0.381597992957684
oSVZ	synaptic_assembly_receptor_trafficking	1144	-0.277662529201773	0.271337942884464	-0.337757004470184	-0.461794219080953	-0.165252351643991
CP_layer3	synaptic_assembly_receptor_trafficking	87	0.978469229941672	0.458477904754075	0.991645608188807	0.67250383212603	1.27707162952103
CP_layer4	synaptic_assembly_receptor_trafficking	358	1.66843273513573	1.07203523894485	1.49651743651852	1.09035311361146	2.05744839466089
SP	synaptic_assembly_receptor_trafficking	400	-0.272377684525478	0.179205358509392	-0.307421195306423	-0.392750483997302	-0.187608304544498
VZ	synaptic_assembly_receptor_trafficking	272	-0.154251866214205	0.336557064152451	-0.222333731728291	-0.373673764143916	-0.0343253509099449
CP_layers5_6	synaptic_assembly_receptor_trafficking	281	0.0716734865849504	0.375401094923252	0.00625883550175366	-0.186626050132448	0.228909802917619
UNRESOLVED	synaptic_assembly_receptor_trafficking	128	-0.553840664539122	0.115123133761675	-0.583594283678952	-0.64223469839995	-0.499503039657563
iSVZ	synaptic_assembly_receptor_trafficking	378	-0.313613226460469	0.224099449142071	-0.371206375575432	-0.461744402525943	-0.22238413942494
IZ	synaptic_assembly_receptor_trafficking	283	-0.441402476295789	0.117567311568549	-0.466575643366315	-0.515747552777245	-0.38261611591473
CP_layers2_3	synaptic_assembly_receptor_trafficking	147	0.305078958406461	0.858023739018616	-0.0544366465723378	-0.423288695768397	0.900293571617939
CP_layer2	synaptic_assembly_receptor_trafficking	113	0.314117004269201	0.506901865530805	0.268529420440636	-0.0726067729130472	0.656137032703001
oSVZ	synaptic_membrane_structural_candidates	1144	-0.20907782288206	0.330402143184555	-0.291687364160148	-0.425687830293003	-0.0609903653737767
CP_layer3	synaptic_membrane_structural_candidates	87	0.735229573087801	0.402385071671992	0.735058670748676	0.511961047117421	0.953534039159191
CP_layer4	synaptic_membrane_structural_candidates	358	1.39328698519509	1.05762097099947	1.1932828741609	0.806644813754223	1.77136694590396
SP	synaptic_membrane_structural_candidates	400	-0.286730485841397	0.16603482506175	-0.330331592986578	-0.401635484602414	-0.200185982750806
VZ	synaptic_membrane_structural_candidates	272	0.0184869764031524	0.412042208461763	-0.0503128193906361	-0.253653749296396	0.172162278363102
CP_layers5_6	synaptic_membrane_structural_candidates	281	0.00253713931596027	0.333445659191618	-0.0635823051747523	-0.205539099989706	0.147342294879546
UNRESOLVED	synaptic_membrane_structural_candidates	128	-0.553877607321751	0.096848476477831	-0.580050164708803	-0.628374640553527	-0.509468276927402
iSVZ	synaptic_membrane_structural_candidates	378	-0.220731945407311	0.268951572619377	-0.289530842004603	-0.396791858799033	-0.110281035930665
IZ	synaptic_membrane_structural_candidates	283	-0.438935054437124	0.110229715380637	-0.462977359749711	-0.507714575454563	-0.388602568037484
CP_layers2_3	synaptic_membrane_structural_candidates	147	0.268096712341953	0.805599152792019	-0.0325902663468565	-0.403075643641751	0.79973558907266
CP_layer2	synaptic_membrane_structural_candidates	113	0.216951586002647	0.472604993003362	0.157260185005229	-0.135518230753644	0.480188974360606
