DTHI_map	external_map	external_family	spearman_rho	bijective_p_spin_two_sided	bijective_q_BH_global160	bijective_q_BH_family80	bijective_p_maxT_global160	bijective_p_maxT_family80	nonbijective_spearman_rho	nonbijective_p_spin_two_sided	nonbijective_q_BH_global160	nonbijective_q_BH_family80	nonbijective_p_maxT_global160	nonbijective_p_maxT_family80	bijective_high_support_spearman_rho	bijective_high_support_p_spin_two_sided	bijective_high_support_q_BH_sensitivity160	nonbijective_high_support_spearman_rho	nonbijective_high_support_p_spin_two_sided	nonbijective_high_support_q_BH_sensitivity160	LODO_mean_rho	LODO_median_rho	LODO_minimum_rho	LODO_maximum_rho	LODO_standard_deviation	minimum_absolute_LODO_rho	maximum_absolute_delta_from_primary	sign_concordant_omissions	sign_concordant_fraction	all_five_direction_concordant	LODO_stability_class	observed_rho_matches_nonbijective	nonbijective_any_corrected	bijective_any_corrected	bijective_global_maxT_significant	bijective_family_maxT_significant	bijective_global_BH_significant	bijective_family_BH_significant	bijective_high_support_BH_significant	LH46_direction_concordant	LH46_rho_delta_from_LH49	evidence_class	high_support_class	integrated_evidence_statement	priority_for_reporting	rank_global_maxT	evidence_tier	evidence_tier_order	evidence_tier_label	corrected_evidence_subclass	effect_direction	effect_magnitude	manuscript_term	reporting_permission	locked_priority_association	LODO_5of5_direction_concordant	LODO_rho_min	LODO_rho_max	LH46_BH_supported	manuscript_safe_sentence	causal_interpretation_allowed	independent_replication_claim_allowed	LH46_interpretation
patterning_arealization	cognitive_emotion_affect	cognitive	0.01	0.952204779522048	0.9895010498950104	0.9844078883250916	1.0	1.0	0.01	0.9624037596240376	0.9917008299170084	0.989571928883061	1.0	1.0	0.0402713536848596	0.8371162883711629	0.9484122010334178	0.0402713536848596	0.8673132686731326	0.97434700974347	0.0222653061224489	0.0444897959183673	-0.1385714285714285	0.2115306122448979	0.135631311907241	0.0444897959183673	0.2015306122448979	3	0.6	False	donor_sensitive	True	False	False	False	False	False	False	False	True	0.0302713536848596	no_corrected_spatial_support	LH46_direction_concordant_not_nominal	no_corrected_spatial_support;LODO_3of5_direction;LH46_direction_concordant_not_nominal	False	20.0	Tier3B_descriptive	4	Tier 3B — descriptive spatial correspondence	no_statistical_support	positive	very_small	descriptive spatial correspondence without statistical support	matrix_or_descriptive_summary_only	False	False	-0.1385714285714285	0.2115306122448979	False	The patterning arealization–cognitive emotion affect correspondence is presented descriptively and is not interpreted as statistically supported.	False	False	no_nested_LH46_BH_FDR_support
patterning_arealization	cognitive_executive_control	cognitive	-0.0089795918367346	0.9482051794820516	0.9895010498950104	0.9844078883250916	1.0	1.0	-0.0089795918367346	0.96010398960104	0.9917008299170084	0.989571928883061	1.0	1.0	-0.03509096515572	0.8318168183181682	0.9484122010334178	-0.03509096515572	0.8462153784621538	0.9658041288069776	0.0033673469387755	-0.0271428571428571	-0.1630612244897959	0.1972448979591836	0.1348207890047193	0.0271428571428571	0.2062244897959182	3	0.6	False	donor_sensitive	True	False	False	False	False	False	False	False	True	-0.0261113733189854	no_corrected_spatial_support	LH46_direction_concordant_not_nominal	no_corrected_spatial_support;LODO_3of5_direction;LH46_direction_concordant_not_nominal	False	20.0	Tier3B_descriptive	4	Tier 3B — descriptive spatial correspondence	no_statistical_support	negative	very_small	descriptive spatial correspondence without statistical support	matrix_or_descriptive_summary_only	False	False	-0.1630612244897959	0.1972448979591836	False	The patterning arealization–cognitive executive control correspondence is presented descriptively and is not interpreted as statistically supported.	False	False	no_nested_LH46_BH_FDR_support
patterning_arealization	cognitive_language	cognitive	-0.1037755102040816	0.5023497650234976	0.8664939957617142	0.9563633800554372	1.0	1.0	-0.1037755102040816	0.5472452754724527	0.9636683390484482	0.9790372314119938	1.0	1.0	-0.0464384828862164	0.7999200079992	0.937114921601365	-0.0464384828862164	0.8224177582241776	0.9658041288069776	-0.1039183673469387	-0.0983673469387755	-0.2015306122448979	0.0118367346938775	0.092140614025627	0.0118367346938775	0.1156122448979591	4	0.8	False	mostly_direction_stable	True	False	False	False	False	False	False	False	True	0.0573370273178652	no_corrected_spatial_support	LH46_direction_concordant_not_nominal	no_corrected_spatial_support;LODO_4of5_direction;LH46_direction_concordant_not_nominal	False	20.0	Tier3B_descriptive	4	Tier 3B — descriptive spatial correspondence	no_statistical_support	negative	very_small	descriptive spatial correspondence without statistical support	matrix_or_descriptive_summary_only	False	False	-0.2015306122448979	0.0118367346938775	False	The patterning arealization–cognitive language correspondence is presented descriptively and is not interpreted as statistically supported.	False	False	no_nested_LH46_BH_FDR_support
patterning_arealization	cognitive_memory	cognitive	-0.0310204081632652	0.8361163883611639	0.9708618179277964	0.966125609661256	1.0	1.0	-0.0310204081632653	0.8636136386361364	0.9817396638714506	0.9790372314119938	1.0	1.0	-0.0216466234967622	0.8905109489051095	0.962373561301588	-0.0216466234967622	0.9157084291570844	0.9816236919354422	4.081632653061273e-05	-0.0193877551020408	-0.056734693877551	0.1261224489795918	0.0746169797653621	0.0027551020408163	0.1571428571428571	3	0.6	False	donor_sensitive	True	False	False	False	False	False	False	False	True	0.0093737846665029	no_corrected_spatial_support	LH46_direction_concordant_not_nominal	no_corrected_spatial_support;LODO_3of5_direction;LH46_direction_concordant_not_nominal	False	20.0	Tier3B_descriptive	4	Tier 3B — descriptive spatial correspondence	no_statistical_support	negative	very_small	descriptive spatial correspondence without statistical support	matrix_or_descriptive_summary_only	False	False	-0.056734693877551	0.1261224489795918	False	The patterning arealization–cognitive memory correspondence is presented descriptively and is not interpreted as statistically supported.	False	False	no_nested_LH46_BH_FDR_support
patterning_arealization	cognitive_reward_motivation	cognitive	-0.1096938775510204	0.4808519148085191	0.8664939957617142	0.9563633800554372	1.0	1.0	-0.1096938775510204	0.545045495450455	0.9636683390484482	0.9790372314119938	1.0	1.0	-0.0608695652173913	0.7441255874412559	0.937114921601365	-0.0608695652173913	0.7874212578742126	0.9658041288069776	-0.0719183673469387	-0.0920408163265305	-0.2340816326530612	0.0832653061224489	0.1185026364424651	0.0082653061224489	0.1929591836734693	4	0.8	False	mostly_direction_stable	True	False	False	False	False	False	False	False	True	0.0488243123336291	no_corrected_spatial_support	LH46_direction_concordant_not_nominal	no_corrected_spatial_support;LODO_4of5_direction;LH46_direction_concordant_not_nominal	False	20.0	Tier3B_descriptive	4	Tier 3B — descriptive spatial correspondence	no_statistical_support	negative	very_small	descriptive spatial correspondence without statistical support	matrix_or_descriptive_summary_only	False	False	-0.2340816326530612	0.0832653061224489	False	The patterning arealization–cognitive reward motivation correspondence is presented descriptively and is not interpreted as statistically supported.	False	False	no_nested_LH46_BH_FDR_support
patterning_arealization	cognitive_sensorimotor	cognitive	0.0216326530612245	0.8939106089391061	0.972659490807676	0.9663898475017364	1.0	1.0	0.0216326530612244	0.9056094390560944	0.9817396638714506	0.9790372314119938	1.0	1.0	-0.0455750847980265	0.8016198380161984	0.937114921601365	-0.0455750847980265	0.8316168383161684	0.9658041288069776	-0.0059591836734693	-0.0328571428571428	-0.1655102040816326	0.1056122448979591	0.1129989191398772	0.0328571428571428	0.187142857142857	2	0.4	False	donor_sensitive	True	False	False	False	False	False	False	False	False	-0.067207737859251	no_corrected_spatial_support	LH46_direction_discordant	no_corrected_spatial_support;LODO_2of5_direction;LH46_direction_discordant	False	20.0	Tier3B_descriptive	4	Tier 3B — descriptive spatial correspondence	no_statistical_support	positive	very_small	descriptive spatial correspondence without statistical support	matrix_or_descriptive_summary_only	False	False	-0.1655102040816326	0.1056122448979591	False	The patterning arealization–cognitive sensorimotor correspondence is presented descriptively and is not interpreted as statistically supported.	False	False	no_nested_LH46_BH_FDR_support
patterning_arealization	cognitive_social_cognition	cognitive	0.0639795918367346	0.6722327767223277	0.9383409485138444	0.9563633800554372	1.0	1.0	0.0639795918367346	0.7077292270772922	0.9817396638714506	0.9790372314119938	1.0	1.0	0.1042861547949429	0.5044495550444955	0.9277233196220608	0.1042861547949429	0.5449455054494551	0.9658041288069776	0.0509183673469387	0.0420408163265306	-0.0301020408163265	0.1538775510204081	0.0709469183462102	0.006938775510204	0.0940816326530611	4	0.8	False	mostly_direction_stable	True	False	False	False	False	False	False	False	True	0.0403065629582082	no_corrected_spatial_support	LH46_direction_concordant_not_nominal	no_corrected_spatial_support;LODO_4of5_direction;LH46_direction_concordant_not_nominal	False	20.0	Tier3B_descriptive	4	Tier 3B — descriptive spatial correspondence	no_statistical_support	positive	very_small	descriptive spatial correspondence without statistical support	matrix_or_descriptive_summary_only	False	False	-0.0301020408163265	0.1538775510204081	False	The patterning arealization–cognitive social cognition correspondence is presented descriptively and is not interpreted as statistically supported.	False	False	no_nested_LH46_BH_FDR_support
preliminary_maturation_balance	cognitive_attention	cognitive	0.2891836734693877	0.1088891110888911	0.5645887024200805	0.5807419258074192	1.0	0.9994000599940006	0.2891836734693875	0.1671832816718328	0.8359164083591641	0.8916441689164417	1.0	1.0	0.2821461609620721	0.1157884211578842	0.578942105789421	0.2821461609620722	0.1670832916708329	0.8354164583541646	0.2805306122448979	0.2943877551020408	0.2183673469387755	0.335408163265306	0.0473713101420373	0.2183673469387755	0.070816326530612	5	1.0	True	direction_and_effect_size_stable	True	False	False	False	False	False	False	False	True	-0.0070375125073156	no_corrected_spatial_support	LH46_direction_concordant_not_nominal	no_corrected_spatial_support;LODO_5of5_direction;LH46_direction_concordant_not_nominal	False	20.0	Tier3B_descriptive	4	Tier 3B — descriptive spatial correspondence	no_statistical_support	positive	small	descriptive spatial correspondence without statistical support	matrix_or_descriptive_summary_only	False	True	0.2183673469387755	0.335408163265306	False	The preliminary maturation balance–cognitive attention correspondence is presented descriptively and is not interpreted as statistically supported.	False	False	no_nested_LH46_BH_FDR_support
preliminary_maturation_balance	cognitive_executive_control	cognitive	-0.1904081632653061	0.2938706129387061	0.8664939957617142	0.9563633800554372	1.0	1.0	-0.190408163265306	0.3714628537146285	0.9636683390484482	0.9790372314119938	1.0	1.0	-0.1018193031144002	0.5786421357864213	0.9277472252774724	-0.1018193031144002	0.6303369663033697	0.9658041288069776	-0.166469387755102	-0.1862244897959183	-0.2716326530612244	0.0568367346938775	0.1334418970939848	0.0568367346938775	0.2472448979591835	4	0.8	False	mostly_direction_stable	True	False	False	False	False	False	False	False	True	0.0885888601509059	no_corrected_spatial_support	LH46_direction_concordant_not_nominal	no_corrected_spatial_support;LODO_4of5_direction;LH46_direction_concordant_not_nominal	False	20.0	Tier3B_descriptive	4	Tier 3B — descriptive spatial correspondence	no_statistical_support	negative	very_small	descriptive spatial correspondence without statistical support	matrix_or_descriptive_summary_only	False	False	-0.2716326530612244	0.0568367346938775	False	The preliminary maturation balance–cognitive executive control correspondence is presented descriptively and is not interpreted as statistically supported.	False	False	no_nested_LH46_BH_FDR_support
preliminary_maturation_balance	cognitive_language	cognitive	-0.0733673469387755	0.7292270772922708	0.9409381642480912	0.9563633800554372	1.0	1.0	-0.0733673469387755	0.7706229377062294	0.9817396638714506	0.9790372314119938	1.0	1.0	-0.0334875115633672	0.8700129987001299	0.962373561301588	-0.0334875115633672	0.8845115488451155	0.9760127435532308	-0.0512448979591836	-0.0614285714285714	-0.0842857142857142	0.0201020408163265	0.0412073994681632	0.0201020408163265	0.093469387755102	4	0.8	False	mostly_direction_stable	True	False	False	False	False	False	False	False	True	0.0398798353754083	no_corrected_spatial_support	LH46_direction_concordant_not_nominal	no_corrected_spatial_support;LODO_4of5_direction;LH46_direction_concordant_not_nominal	False	20.0	Tier3B_descriptive	4	Tier 3B — descriptive spatial correspondence	no_statistical_support	negative	very_small	descriptive spatial correspondence without statistical support	matrix_or_descriptive_summary_only	False	False	-0.0842857142857142	0.0201020408163265	False	The preliminary maturation balance–cognitive language correspondence is presented descriptively and is not interpreted as statistically supported.	False	False	no_nested_LH46_BH_FDR_support
