profile_index	profile_id	analysis_scope	is_primary_scope	chemical_query	evidence_tier	signature_count	unique_cell_count	neural_lineage_signature_count	axis_name	observed_score	null_mean	null_standard_deviation	empirical_z	empirical_p_upper	empirical_p_lower	empirical_p_two_sided	empirical_p_upper_FDR_within_axis	empirical_p_upper_FDR_within_scope_all_axes	empirical_p_lower_FDR_within_axis	empirical_p_lower_FDR_within_scope_all_axes	empirical_p_two_sided_FDR_within_axis	empirical_p_two_sided_FDR_within_scope_all_axes	maxT_p_upper_within_axis	maxT_p_lower_within_axis	maxT_p_two_sided_within_axis	maxT_p_upper_within_scope_all_axes	maxT_p_lower_within_scope_all_axes	maxT_p_two_sided_within_scope_all_axes	directional_FDR_evidence_class	global_maxT_evidence_class	observed_direction	empirical_direction	evidence_level	generic_evidence_class	biological_interpretation	absolute_direction_supported	null_relative_only
1	all_cells_cell_balanced|daunorubicin	all_cells_cell_balanced	True	daunorubicin	Tier_C_program_overlap_dependent	41	7	0	late_minus_early	-0.0731984975000155	0.0075978174154925	0.0386554293174659	-2.090167315228892	0.9784043191361728	0.0217956408718256	0.0435912817436512	0.9978004399120176	1.0	0.1089782043591281	0.1226004799040191	0.1089782043591281	0.1060328474845571	1.0	0.2249550089982003	0.4009198160367926	1.0	0.7590481903619276	0.9128174365126974	not_FDR_supported	not_global_maxT_supported	negative	none	none	not_empirically_supported	not_empirically_supported	False	False
1	all_cells_cell_balanced|daunorubicin	all_cells_cell_balanced	True	daunorubicin	Tier_C_program_overlap_dependent	41	7	0	late_minus_injury	-0.3483898002630447	-0.1409163672673516	0.040393873255162	-5.136259939350564	1.0	0.0001999600079984	0.0003999200159968	1.0	1.0	0.000999800039992	0.0025709143885508	0.001999600079984	0.0018943579705111	1.0	0.0001999600079984	0.0001999600079984	1.0	0.0001999600079984	0.0001999600079984	negative_FDR_supported	negative_global_maxT_supported	negative	negative	global_maxT	absolute_negative_global_maxT_supported	injury_exceeds_late_program_global_maxT	True	False
2	all_cells_cell_balanced|dexamethasone	all_cells_cell_balanced	True	dexamethasone	Tier_D_no_fixed_panel_mechanism	57	9	3	developmental_shift	-0.025543895590026	-0.0164888275178791	0.0058106871141038	-1.558347213390349	0.94501099780044	0.0551889622075584	0.1103779244151169	1.0	1.0	0.1655668866226754	0.2092081583683263	0.1182620618733396	0.2049386041159115	1.0	0.5746850629874025	0.8214357128574286	1.0	0.9882023595280944	0.9998000399920016	not_FDR_supported	not_global_maxT_supported	negative	none	none	not_empirically_supported	not_empirically_supported	False	False
2	all_cells_cell_balanced|dexamethasone	all_cells_cell_balanced	True	dexamethasone	Tier_D_no_fixed_panel_mechanism	57	9	3	early_program_suppression	0.0313076779550046	0.0235987058539947	0.0095724327522851	0.8053305048468034	0.2075584883023395	0.7926414717056589	0.415116976604679	0.6226754649070185	0.566068604460926	0.9722055588882224	1.0	0.641871625674865	0.5576198193197182	0.961007798440312	1.0	0.9998000399920016	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported	positive	none	none	not_empirically_supported	not_empirically_supported	False	False
2	all_cells_cell_balanced|dexamethasone	all_cells_cell_balanced	True	dexamethasone	Tier_D_no_fixed_panel_mechanism	57	9	3	injury_stress	-0.0229210161071017	-0.022612074119611	0.0135021199053159	-0.0228809986622234	0.4607078584283143	0.5394921015796841	0.9214157168566288	0.628374325134973	0.9214157168566288	1.0	1.0	0.99500099980004	0.9531886726103056	1.0	0.9998000399920016	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported	negative	none	none	not_empirically_supported	not_empirically_supported	False	False
2	all_cells_cell_balanced|dexamethasone	all_cells_cell_balanced	True	dexamethasone	Tier_D_no_fixed_panel_mechanism	57	9	3	late_maturation_support	-0.0648353000756627	-0.0316198394525465	0.0102195668269052	-3.250182829243725	0.9996000799840032	0.0005998800239952	0.0011997600479904	0.9996000799840032	1.0	0.00749850029994	0.006748650269946	0.008998200359928	0.0051418287771017	1.0	0.0083983203359328	0.0167966406718656	1.0	0.0523895220955808	0.0939812037592481	negative_FDR_supported	not_global_maxT_supported	negative	negative	FDR_only	absolute_negative_FDR_only_supported	late_maturation_program_depletion_FDR_only	True	False
2	all_cells_cell_balanced|dexamethasone	all_cells_cell_balanced	True	dexamethasone	Tier_D_no_fixed_panel_mechanism	57	9	3	late_minus_early	-0.0961429780306674	-0.0552185453558107	0.0150190477707071	-2.7248353756937216	0.9978004399120176	0.0023995200959808	0.0047990401919616	0.9978004399120176	1.0	0.035992801439712	0.0154254863313051	0.023995200959808	0.0139326973315014	1.0	0.047990401919616	0.0935812837432513	1.0	0.2339532093581283	0.388122375524895	negative_FDR_supported	not_global_maxT_supported	negative	negative	FDR_only	absolute_negative_FDR_only_supported	early_component_exceeds_late_program_FDR_only	True	False
2	all_cells_cell_balanced|dexamethasone	all_cells_cell_balanced	True	dexamethasone	Tier_D_no_fixed_panel_mechanism	57	9	3	late_minus_injury	-0.041914283968561	-0.0090077653341747	0.0165203978603916	-1.9918720428205257	0.96500699860028	0.0351929614077184	0.0703859228154369	1.0	1.0	0.1014797040591881	0.158368326334733	0.1508269774616505	0.1439712057588482	1.0	0.3017396520695861	0.489502099580084	1.0	0.826634673065387	0.9496100779844032	not_FDR_supported	not_global_maxT_supported	negative	none	none	not_empirically_supported	not_empirically_supported	False	False
3	all_cells_cell_balanced|dosulepin	all_cells_cell_balanced	True	dosulepin	Tier_D_no_fixed_panel_mechanism	42	7	0	developmental_shift	-0.0122807533251771	-0.0470838304013013	0.0046676144291357	7.456287918487882	0.0001999600079984	1.0	0.0003999200159968	0.0004284857314251	0.001499700059988	1.0	1.0	0.0005998800239952	0.0018943579705111	0.0001999600079984	1.0	0.0001999600079984	0.0001999600079984	1.0	0.0001999600079984	positive_FDR_supported	positive_global_maxT_supported	negative	positive	global_maxT	above_null_but_observed_negative_global_maxT	relative_preservation_or_above_null_without_absolute_activation	False	True
3	all_cells_cell_balanced|dosulepin	all_cells_cell_balanced	True	dosulepin	Tier_D_no_fixed_panel_mechanism	42	7	0	early_program_suppression	0.0054690245749273	0.0275450936030363	0.0074270475856531	-2.9723882570448823	0.9984003199360127	0.0017996400719856	0.0035992801439712	0.9984003199360127	1.0	0.026994601079784	0.0154254863313051	0.053989202159568	0.0128545719427543	1.0	0.0241951609678064	0.0445910817836432	1.0	0.1207758448310337	0.2109578084383123	negative_FDR_supported	not_global_maxT_supported	positive	negative	FDR_only	below_null_but_observed_positive_FDR_only	relative_depletion_or_below_null_without_absolute_suppression	False	True
