supplementary_table	public_filename	canonical_source	description	rows
S1	Supplementary_Table_S1_BrainSpan_cortical_sample_metadata.tsv	03_processed_data/transcriptomics/BrainSpan/brainspan_cortical_sample_metadata.tsv	BrainSpan cortical sample metadata used for developmental analyses	362
S2	Supplementary_Table_S2_frozen_DTHI_module_gene_definitions.tsv	12_validation_package/phase10A_prospective_validation_lock/01_frozen_sources/DTHI_module_gene_definitions_frozen_R1.tsv	Frozen DTHI module and gene definitions used in prospective validation	244
S3	Supplementary_Table_S3_gene_trajectory_and_centroid_assignments.tsv.gz	07_tables/main_tables/phase5/phase5D3_all_supported_gene_centroid_assignments.tsv.gz	Full supported-gene developmental trajectory and centroid assignments	compressed_full_table
S4	Supplementary_Table_S4_complete_functional_enrichment.tsv.gz	03_processed_data/developmental_trajectory/phase5D/phase5D4_R1/enrichment/phase5D4_R1_all_functional_enrichment_results.tsv.gz	Complete corrected Phase5D4_R1 functional-enrichment results	compressed_full_table
S5	Supplementary_Table_S5_leave_marker_out_cellular_context.tsv	07_tables/main_tables/phase2/phase2B_GSE104276_leave_marker_out_validation.tsv + 07_tables/main_tables/phase2/phase2B_Allen_leave_marker_out_validation.tsv	Developmental and adult leave-marker-out cellular-context validation	90
