module_id	gene_symbol	source_relative_path	source_SHA256	lock_revision	selection_basis
patterning_arealization	SMAD1	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
patterning_arealization	SMAD5	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
patterning_arealization	SP8	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
patterning_arealization	TBR1	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
patterning_arealization	WNT3A	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
patterning_arealization	WNT7B	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
patterning_arealization	WNT8B	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	ASCL1	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	AURKB	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	BIRC5	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	DLL1	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	DLL3	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	EOMES	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	FABP7	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	FAM107A	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	HES1	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	HES5	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	HMGB2	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
